"","name","url","query","woeid"
"1","#ProtagonistasRCN","http://twitter.com/search?q=%23ProtagonistasRCN","%23ProtagonistasRCN","368148"
"2","#ParoDeTaxistas","http://twitter.com/search?q=%23ParoDeTaxistas","%23ParoDeTaxistas","368148"
"3","#TheWalkingDead","http://twitter.com/search?q=%23TheWalkingDead","%23TheWalkingDead","368148"
"4","Santa Fe","http://twitter.com/search?q=%22Santa+Fe%22","%22Santa+Fe%22","368148"
"5","#ColombiaDuermeBien","http://twitter.com/search?q=%23ColombiaDuermeBien","%23ColombiaDuermeBien","368148"
"6","#LaTeleLetal","http://twitter.com/search?q=%23LaTeleLetal","%23LaTeleLetal","368148"
"7","Mauricio Gómez","http://twitter.com/search?q=%22Mauricio+G%C3%B3mez%22","%22Mauricio+G%C3%B3mez%22","368148"
"8","Jesús Santrich","http://twitter.com/search?q=%22Jes%C3%BAs+Santrich%22","%22Jes%C3%BAs+Santrich%22","368148"
"9","Ramos Allup","http://twitter.com/search?q=%22Ramos+Allup%22","%22Ramos+Allup%22","368148"
"10","Los 13","http://twitter.com/search?q=%22Los+13%22","%22Los+13%22","368148"
"11","Farc y Eln","http://twitter.com/search?q=%22Farc+y+Eln%22","%22Farc+y+Eln%22","368148"
"12","Charly García","http://twitter.com/search?q=%22Charly+Garc%C3%ADa%22","%22Charly+Garc%C3%ADa%22","368148"
"13","Albert Einstein","http://twitter.com/search?q=%22Albert+Einstein%22","%22Albert+Einstein%22","368148"
"14","Tarazá","http://twitter.com/search?q=Taraz%C3%A1","Taraz%C3%A1","368148"
"15","Hip Hop al Parque","http://twitter.com/search?q=%22Hip+Hop+al+Parque%22","%22Hip+Hop+al+Parque%22","368148"
"16","Bogotá","http://twitter.com/search?q=Bogot%C3%A1","Bogot%C3%A1","368148"
"17","Jorge Luis Bernal","http://twitter.com/search?q=%22Jorge+Luis+Bernal%22","%22Jorge+Luis+Bernal%22","368148"
"18","Hugo Ospina","http://twitter.com/search?q=%22Hugo+Ospina%22","%22Hugo+Ospina%22","368148"
"19","Dani Alves","http://twitter.com/search?q=%22Dani+Alves%22","%22Dani+Alves%22","368148"
"20","Once Caldas","http://twitter.com/search?q=%22Once+Caldas%22","%22Once+Caldas%22","368148"
"21","Sandra Morelli","http://twitter.com/search?q=%22Sandra+Morelli%22","%22Sandra+Morelli%22","368148"
"22","Hugo Pájaro","http://twitter.com/search?q=%22Hugo+P%C3%A1jaro%22","%22Hugo+P%C3%A1jaro%22","368148"
"23","Ayron","http://twitter.com/search?q=Ayron","Ayron","368148"
"24","#AmorYTerror","http://twitter.com/search?q=%23AmorYTerror","%23AmorYTerror","368148"
"25","#LaNocturna","http://twitter.com/search?q=%23LaNocturna","%23LaNocturna","368148"
"26","#SpamDeFondosDePantalla","http://twitter.com/search?q=%23SpamDeFondosDePantalla","%23SpamDeFondosDePantalla","368148"
"27","#ParaMiGrandezaEs","http://twitter.com/search?q=%23ParaMiGrandezaEs","%23ParaMiGrandezaEs","368148"
"28","#FSRadioColombia","http://twitter.com/search?q=%23FSRadioColombia","%23FSRadioColombia","368148"
"29","#Roberthor40","http://twitter.com/search?q=%23Roberthor40","%23Roberthor40","368148"
"30","#TheGifted","http://twitter.com/search?q=%23TheGifted","%23TheGifted","368148"
"31","#QuéHaPasado","http://twitter.com/search?q=%23Qu%C3%A9HaPasado","%23Qu%C3%A9HaPasado","368148"
"32","#ElTercerOjo","http://twitter.com/search?q=%23ElTercerOjo","%23ElTercerOjo","368148"
"33","#TardeLoConocí","http://twitter.com/search?q=%23TardeLoConoc%C3%AD","%23TardeLoConoc%C3%AD","368148"
"34","#FuerzaBerrio","http://twitter.com/search?q=%23FuerzaBerrio","%23FuerzaBerrio","368148"
"35","#TheBest","http://twitter.com/search?q=%23TheBest","%23TheBest","368148"
"36","#FelizLunes","http://twitter.com/search?q=%23FelizLunes","%23FelizLunes","368148"
"37","#EllosEstanAqui","http://twitter.com/search?q=%23EllosEstanAqui","%23EllosEstanAqui","368148"
"38","#SantiagoJaramilloEnLaW","http://twitter.com/search?q=%23SantiagoJaramilloEnLaW","%23SantiagoJaramilloEnLaW","368148"
"39","#EncuentroBIBO","http://twitter.com/search?q=%23EncuentroBIBO","%23EncuentroBIBO","368148"
"40","#LosNiñosSueñan","http://twitter.com/search?q=%23LosNi%C3%B1osSue%C3%B1an","%23LosNi%C3%B1osSue%C3%B1an","368148"
"41","#PonteAlDíaVacúnalo","http://twitter.com/search?q=%23PonteAlD%C3%ADaVac%C3%BAnalo","%23PonteAlD%C3%ADaVac%C3%BAnalo","368148"
"42","#MañanasBLU","http://twitter.com/search?q=%23Ma%C3%B1anasBLU","%23Ma%C3%B1anasBLU","368148"
"43","#MillosAmenaza","http://twitter.com/search?q=%23MillosAmenaza","%23MillosAmenaza","368148"
"44","#JusticiaParaZuluaga","http://twitter.com/search?q=%23JusticiaParaZuluaga","%23JusticiaParaZuluaga","368148"
"45","#DeFrente","http://twitter.com/search?q=%23DeFrente","%23DeFrente","368148"
"46","#Liderarketing2017","http://twitter.com/search?q=%23Liderarketing2017","%23Liderarketing2017","368148"
"47","#HAVANAtheMOVIE","http://twitter.com/search?q=%23HAVANAtheMOVIE","%23HAVANAtheMOVIE","368148"
"48","#SoyCursiCuando","http://twitter.com/search?q=%23SoyCursiCuando","%23SoyCursiCuando","368148"
"49","#ContraLosMosquitos","http://twitter.com/search?q=%23ContraLosMosquitos","%23ContraLosMosquitos","368148"
"50","#WWETLC","http://twitter.com/search?q=%23WWETLC","%23WWETLC","368148"
